"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"690","SETH.JONES","2013-2014","Regular","D","NSH",77,1508.04,6,6,13,19,25,12,0.24,0.24,0.52,0.76,0.99,0.48,225,8.95,2.67,151,6.01,3.97,100,3.98,6,4.88,0.19,3.23,10,0.4,55,94,57,25,99,0,0,NA,12,10,-2,3,5,50.91
"691","SHANE.DOAN","2013-2014","Regular","R","ARI",69,1300.33,23,16,8,24,47,39,1.06,0.74,0.37,1.11,2.17,1.8,318,14.67,7.23,248,11.44,9.27,167,7.71,13.77,19.11,0.88,7.71,75,3.46,135,113,20,48,22,6,6,50,11,13,2,14,7,27.68
"692","SHANE.O'BRIEN","2013-2014","Regular","D","CGY",45,507.87,0,1,2,3,3,1,0,0.12,0.24,0.35,0.35,0.12,57,6.73,0,30,3.54,0,16,1.89,0,0.7,0.08,2.32,1,0.12,56,29,9,3,38,0,0,NA,17,6,-11,0,1,51.89
"693","SHAWN.HORCOFF","2013-2014","Regular","C","DAL",77,993.31,8,11,2,13,21,19,0.48,0.66,0.12,0.79,1.27,1.15,112,6.77,7.14,87,5.26,9.2,70,4.23,11.43,8.16,0.49,9.38,31,1.87,63,39,17,34,29,209,208,50.12,24,6,-18,10,4,21.79
"694","SHAWN.MATTHIAS","2013-2014","Regular","C","FLA/VAN",77,1002.93,12,4,7,11,23,16,0.72,0.24,0.42,0.66,1.38,0.96,200,11.96,6,162,9.69,7.41,127,7.6,9.45,13.83,0.83,8.53,54,3.23,93,91,15,33,29,183,250,42.26,13,13,0,13,11,25.63
"695","SHAWN.THORNTON","2013-2014","Regular","L","BOS",64,563.23,5,2,1,3,8,7,0.53,0.21,0.11,0.32,0.85,0.75,150,15.98,3.33,127,13.53,3.94,93,9.91,5.38,5.67,0.6,4.46,15,1.6,111,40,10,13,19,3,6,33.33,18,8,-10,1,4,37.06
"696","SHEA.WEBER","2013-2014","Regular","D","NSH",79,2117.11,23,10,23,33,56,33,0.65,0.28,0.65,0.94,1.59,0.94,401,11.36,5.74,303,8.59,7.59,195,5.53,11.79,12.54,0.36,4.14,21,0.6,169,49,50,35,173,0,0,NA,19,10,-9,15,12,46.48
"697","SHELDON.BROOKBANK","2013-2014","Regular","D","CHI",48,618.05,2,5,0,5,7,7,0.19,0.49,0,0.49,0.68,0.68,95,9.22,2.11,64,6.21,3.12,43,4.17,4.65,2.23,0.22,3.48,4,0.39,64,95,20,7,38,0,0,NA,11,7,-4,3,0,49.12
"698","SIDNEY.CROSBY","2013-2014","Regular","C","PIT",80,1754.7,36,34,34,68,104,70,1.23,1.16,1.16,2.33,3.56,2.39,421,14.4,8.55,344,11.76,10.47,259,8.86,13.9,28.88,0.99,8.4,95,3.25,47,90,56,41,28,991,896,52.52,23,27,4,26,15,25.66
"699","SIMON.DESPRES","2013-2014","Regular","D","PIT",34,569.25,0,2,3,5,5,2,0,0.21,0.32,0.53,0.53,0.21,83,8.75,0,53,5.59,0,41,4.32,0,1.39,0.15,2.63,0,0,72,64,15,10,46,0,0,NA,13,6,-7,0,4,48.2
